Timestamp,Country information,Local information
12/11/2011 22:12:07,SG,518615
12/11/2011 22:15:25,DE,67434
12/11/2011 22:23:49,US,16803
12/11/2011 22:35:10,US,43201
12/11/2011 22:41:13,CA,v5s 3y8
12/11/2011 22:45:08,GB,CB24 8QY
12/11/2011 22:48:41,CZ,10000
12/11/2011 22:50:33,GB,CB2 1TQ
12/11/2011 22:55:02,US,19104
12/11/2011 23:00:48,US,1373
12/11/2011 23:02:30,us,19144
12/11/2011 23:03:57,US,6117
12/11/2011 23:04:26,hu,Budapest
12/11/2011 23:16:58,ca,N2L 3G1
12/11/2011 23:29:03,GE,35390
12/11/2011 23:30:31,US,82070
12/11/2011 23:31:28,US,60606
12/11/2011 23:35:43,IT,34134
12/11/2011 23:36:05,US,48104
12/11/2011 23:40:10,US,83725
12/11/2011 23:41:25,US,94598
12/11/2011 23:41:29,us,27278
12/11/2011 23:49:35,AU,2067
12/11/2011 23:54:50,NL,5612MB
12/12/2011 0:03:35,DE,67071
12/12/2011 0:04:33,US,78247
12/12/2011 0:04:40,US,78705
12/12/2011 0:07:14,SI,1000
12/12/2011 0:08:19,US,50014
12/12/2011 0:09:22,US,Boston
12/12/2011 0:09:23,US,92122
12/12/2011 0:11:42,US,14853
12/12/2011 0:12:56,Philippines,"Guiguinto, Bulacan"
12/12/2011 0:28:06,GB,SW11 2LJ
12/12/2011 0:29:11,US,94305
12/12/2011 0:32:19,US,95618
12/12/2011 0:32:32,US,4473
12/12/2011 0:39:23,US,52556
12/12/2011 0:50:19,US,98052
12/12/2011 0:50:56,NO,7034
12/12/2011 0:55:32,US,97405
12/12/2011 0:55:32,US,97405
12/12/2011 0:57:18,CH,1020
12/12/2011 1:06:23,ca,R2V4J5
12/12/2011 1:20:40,US,32514
12/12/2011 1:26:17,us,94702
12/12/2011 1:31:10,US,14850
12/12/2011 1:34:50,US,37919
12/12/2011 2:02:09,US,94901
12/12/2011 2:07:40,US,55446
12/12/2011 2:10:35,US,48336
12/12/2011 2:14:27,US,84092
12/12/2011 2:21:49,US,61820
12/12/2011 2:34:36,US,92101
12/12/2011 2:44:18,US,41017-3204
12/12/2011 2:49:13,US,14627
12/12/2011 2:50:10,US,"Indianapolis, IN"
12/12/2011 2:51:47,US,94117
12/12/2011 3:00:05,US,53704
12/12/2011 3:05:07,RU,Moscow
12/12/2011 3:26:30,US,98115
12/12/2011 3:51:17,US,12404
12/12/2011 4:27:09,US,33021
12/12/2011 4:44:02,US,94401
12/12/2011 5:16:57,US,84065
12/12/2011 5:33:48,Ca,v6k1z2
12/12/2011 5:41:50,IL,haifa
12/12/2011 5:43:07,US,93536
12/12/2011 5:58:36,US,80027
12/12/2011 6:06:53,US,94025
12/12/2011 6:24:16,au,6000
12/12/2011 6:57:58,US,10003
12/12/2011 7:23:08,US,12203
12/12/2011 8:30:45,NL,2334
12/12/2011 9:21:40,BE,1000
12/12/2011 9:56:11,CA,N2L 3G1
12/12/2011 10:11:40,TW,Taipei
12/12/2011 10:21:02,at,8010
12/12/2011 10:39:41,DE,33332
12/12/2011 11:44:09,SE,141 52
12/12/2011 11:57:59,US,28211
12/12/2011 13:00:03,IL,Kfar Saba
12/12/2011 13:39:35,de,85662
12/12/2011 14:31:13,us,33713
12/12/2011 14:46:10,uk,NR5
12/12/2011 14:51:24,IN,560078
12/12/2011 15:59:30,uk,n22
12/12/2011 19:39:41,SW,Stockholm
12/12/2011 20:41:02,SK,80000
12/12/2011 20:52:43,DE,12623
12/12/2011 20:56:52,be,3580
12/12/2011 22:57:22,BE,1000
12/12/2011 22:59:13,SE,17266
12/13/2011 0:20:42,us,59901
12/13/2011 0:59:34,UK,NE28 7RT
12/13/2011 2:01:09,US,95060
12/13/2011 3:17:16,BR,Curitiba
12/13/2011 3:36:12,US,48103
12/13/2011 5:18:42,US,97478
12/13/2011 7:03:21,PH,1100
12/13/2011 9:18:25,BE,7040
12/13/2011 15:53:14,UK,CV5
12/13/2011 16:32:25,AU,4000
12/13/2011 18:43:34,US,32607
12/13/2011 18:59:46,US,78552